Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000000708e340     32      0 R--r-d \Device\HarddiskVolume2>￿dows\System32\drivers\dumpfve.sys
0x000000000709ca60     16      0 R--rwd \Device\HarddiskVolume2Ƶ￿υ婢￿Data\VMware\VMware Tools\manifest.txt
0x000000000709db30     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\cmd.exe.mui
0x000000000709ee20     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\wsock32.dll.mui
0x00000000070d9900     16      0 R--r-- \Device\HarddiskVolume2䲠Å￿υ婢￿\Fonts\vgafix.fon
0x00000000070e05d0     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\win32k.sys.mui
0x00000000070ee2d0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\monitor.sys
0x00000000070ee4a0     16      0 R--r-- \Device\HarddiskVolume2쾀Ą￿셐ć￿\System32\FNTCACHE.DAT
0x00000000070f32c0     32      0 R--r-d \Device\HarddiskVolume2쥰ѧ￿�>￿\System32\drivers\Diskdump.sys
0x000000000710add0      9      0 R--r-d \Device\HarddiskVolume2ႠѨ￿荰Ò￿\System32\tsddd.dll
0x0000000007118070      6      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000007135070     16      0 R--r-d \Device\HarddiskVolume2\Windows\Microsoft.NET\Framework64\v4.0.30319\en-US\WorkflowServiceHostPerformanceCounters.dll.mui
0x0000000007135290     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\pacer.sys
0x00000000071354e0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\azroles.dll.mui
0x0000000007135e60     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FWPUCLNT.DLL
0x0000000007136070     16      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000007136aa0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\lsm.exe
0x0000000007136e20     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\en-US\pacer.sys.mui
0x00000000071376b0     15      0 R--r-d \Device\HarddiskVolume2\Windows\Microsoft.NET\Framework64\v4.0.30319\ServiceModelPerformanceCounters.dll
0x0000000007137e50     16      0 R--r-d \Device\HarddiskVolume2\Windows\Microsoft.NET\Framework64\v4.0.30319\en-US\ServiceModelPerformanceCounters.dll.mui
0x0000000007138070     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\FXSRESM.dll
0x00000000071381e0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\httpapi.dll
0x0000000007138af0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\iphlpsvc.dll.mui
0x0000000007138cd0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\iphlpsvc.dll
0x0000000007138e20      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msdtcuiu.dll
0x0000000007168070     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\d3d10_1.dll
