Last Modified                  Path
------------------------------ ----
2019-02-09 18:22:52 UTC+0000   \??\C:\Program Files (x86)\Google\Update\GoogleUpdate.exe
2019-02-09 18:22:52 UTC+0000   \??\C:\Program Files (x86)\Google\Update\1.3.33.23\GoogleCrashHandler64.exe
2019-02-09 18:22:52 UTC+0000   \??\C:\Program Files (x86)\Google\Update\1.3.33.23\GoogleCrashHandler.exe
2009-07-14 01:39:37 UTC+0000   \??\C:\Windows\system32\SearchProtocolHost.exe
2009-07-14 01:39:46 UTC+0000   \??\C:\Windows\system32\svchost.exe
2010-11-20 13:24:52 UTC+0000   \??\C:\Windows\system32\LogonUI.exe
2009-07-14 01:39:37 UTC+0000   \??\C:\Windows\system32\SearchFilterHost.exe
2009-07-14 01:39:56 UTC+0000   \??\C:\Program Files\Windows Media Player\wmpnscfg.exe
2016-10-26 20:58:36 UTC+0000   \??\C:\Program Files\AccessData\FTK Imager\FTK Imager.exe
2019-03-20 03:40:36 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE
2010-11-20 13:26:33 UTC+0000   \??\C:\Windows\System32\ieframe.dll
2005-09-24 03:02:20 UTC+0000   \??\C:\Program Files (x86)\Adobe\Acrobat 7.0\Reader\AcroRd32.exe
2017-02-08 08:19:36 UTC+0000   \??\C:\Program Files (x86)\FileZilla Server\FileZilla Server.exe
2010-11-20 13:25:33 UTC+0000   \??\C:\Program Files\Windows Media Player\wmpnetwk.exe
2019-03-20 03:40:42 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE
2009-07-14 01:39:41 UTC+0000   \??\C:\Windows\system32\SnippingTool.exe
2009-07-14 01:39:46 UTC+0000   \??\C:\Windows\system32\StikyNot.exe
2009-07-14 01:38:57 UTC+0000   \??\C:\Windows\system32\calc.exe
2009-07-14 01:39:06 UTC+0000   \??\C:\Windows\system32\displayswitch.exe
2019-03-20 03:41:28 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE
2009-07-14 01:39:31 UTC+0000   \??\C:\Windows\system32\rundll32.exe
2009-07-14 01:39:25 UTC+0000   \??\C:\Windows\system32\notepad.exe
2019-03-20 03:39:49 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\Office16\EXCEL.EXE
2009-07-14 01:39:24 UTC+0000   \??\C:\Windows\system32\mspaint.exe
2016-12-09 02:34:22 UTC+0000   \??\C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
2015-02-03 03:12:09 UTC+0000   \??\C:\Program Files (x86)\Windows Media Player\wmplayer.exe
2009-07-14 01:39:06 UTC+0000   \??\C:\Windows\system32\DllHost.exe
2017-02-08 08:19:38 UTC+0000   \??\C:\Program Files (x86)\FileZilla Server\FileZilla Server Interface.exe
